state_name,Class,Class
Alabama,2,53
Alabama,0,12
Alabama,1,1
Alabama,3,1
Alaska,2,21
Alaska,0,4
Alaska,1,2
Alaska,3,1
Arizona,2,15
Arkansas,2,43
Arkansas,0,18
Arkansas,1,13
Arkansas,3,1
California,0,27
California,1,20
California,3,6
California,2,5
Colorado,0,64
Connecticut,0,143
Connecticut,2,19
Connecticut,1,4
Connecticut,3,3
Delaware,0,1
Delaware,2,1
Delaware,3,1
District of Columbia,2,1
Florida,2,33
Florida,0,23
Florida,3,11
Georgia,2,97
Georgia,0,48
Georgia,3,12
Georgia,1,2
Hawaii,2,4
Hawaii,0,1
Idaho,2,31
Idaho,0,13
Illinois,2,76
Illinois,0,24
Illinois,3,2
Indiana,2,73
Indiana,0,18
Indiana,3,1
Iowa,2,66
Iowa,0,31
Iowa,3,2
Kansas,2,77
Kansas,1,19
Kansas,0,9
Kentucky,2,120
Louisiana,2,47
Louisiana,0,17
Maine,1,195
Maine,0,175
Maine,2,159
Maryland,1,15
Maryland,0,9
Massachusetts,2,249
Massachusetts,0,69
Massachusetts,1,22
Massachusetts,3,8
Michigan,2,57
Michigan,0,22
Michigan,3,3
Michigan,1,1
Minnesota,0,87
Mississippi,2,40
Mississippi,0,28
Mississippi,1,14
Missouri,0,101
Missouri,1,9
Missouri,2,6
Montana,2,39
Montana,0,13
Montana,1,3
Montana,3,1
Nebraska,2,57
Nebraska,0,32
Nebraska,1,4
Nevada,2,13
Nevada,0,4
New Hampshire,2,169
New Hampshire,0,82
New Hampshire,3,6
New Hampshire,1,2
New Jersey,0,18
New Jersey,1,3
New Mexico,0,19
New Mexico,2,12
New Mexico,1,2
New York,2,45
New York,0,13
New York,3,3
New York,1,1
North Carolina,2,71
North Carolina,0,14
North Carolina,1,12
North Carolina,3,3
North Dakota,2,36
North Dakota,0,13
North Dakota,1,2
North Dakota,3,2
Ohio,2,69
Ohio,0,17
Ohio,1,2
Oklahoma,2,53
Oklahoma,0,24
Oregon,2,23
Oregon,0,13
Pennsylvania,2,67
Rhode Island,2,39
South Carolina,2,30
South Carolina,0,16
South Dakota,2,35
South Dakota,0,29
South Dakota,1,1
Tennessee,2,63
Tennessee,0,24
Tennessee,1,4
Tennessee,3,4
Texas,2,112
Texas,0,17
Texas,3,2
Texas,1,1
